Date,Value,IsRecord,OtherDateClass,DateClass
2020-01-30,2,True,,20200130
2020-01-31,0,True,,20200131
2020-02-01,0,False,20200131,20200201
2020-02-02,0,False,20200201,20200202
2020-02-03,0,False,20200202,20200203
2020-02-04,0,False,20200203,20200204
2020-02-05,1,False,20200204,20200205
2020-02-06,0,False,20200204,20200206
2020-02-07,0,False,20200206,20200207
2020-02-08,4,True,,20200208
2020-02-09,1,False,20200208,20200209
2020-02-10,0,False,20200207,20200210
2020-02-11,1,False,20200209,20200211
2020-02-12,0,False,20200210,20200212
2020-02-13,0,False,20200212,20200213
2020-02-14,0,False,20200213,20200214
2020-02-15,0,False,20200214,20200215
2020-02-16,0,False,20200215,20200216
2020-02-17,0,False,20200216,20200217
2020-02-18,0,False,20200217,20200218
2020-02-19,0,False,20200218,20200219
2020-02-20,0,False,20200219,20200220
2020-02-21,1,False,20200211,20200221
2020-02-22,0,False,20200220,20200222
2020-02-23,1,False,20200221,20200223
2020-02-24,2,False,20200208,20200224
2020-02-25,5,True,,20200225
2020-02-26,4,False,20200225,20200226
2020-02-27,8,True,,20200227
2020-02-28,12,True,,20200228
2020-02-29,5,False,20200226,20200229
2020-03-01,22,True,,20200301
2020-03-02,39,True,,20200302
2020-03-03,56,True,,20200303
2020-03-04,56,False,20200303,20200304
2020-03-05,50,False,20200304,20200305
2020-03-06,81,True,,20200306
2020-03-07,68,False,20200306,20200307
2020-03-08,57,False,20200305,20200308
2020-03-09,147,True,,20200309
2020-03-10,265,True,,20200310
2020-03-11,405,True,,20200311
2020-03-12,481,True,,20200312
2020-03-13,479,False,20200312,20200313
2020-03-14,363,False,20200313,20200314
2020-03-15,442,False,20200313,20200315
2020-03-16,610,True,,20200316
2020-03-17,769,True,,20200317
2020-03-18,998,True,,20200318
2020-03-19,1050,True,,20200319
2020-03-20,1262,True,,20200320
2020-03-21,1190,False,20200320,20200321
2020-03-22,1375,True,,20200322
2020-03-23,2325,True,,20200323
2020-03-24,2375,True,,20200324
2020-03-25,2689,True,,20200325
2020-03-26,3086,True,,20200326
2020-03-27,3186,True,,20200327
2020-03-28,2818,False,20200327,20200328
2020-03-29,2855,False,20200327,20200329
2020-03-30,4264,True,,20200330
2020-03-31,4516,True,,20200331
2020-04-01,4934,True,,20200401
2020-04-02,4855,False,20200401,20200402
