Date,Value,IsRecord,OtherDateClass,DateClass
2020-03-02,1,True,,20200302
2020-03-03,2,True,,20200303
2020-03-04,0,True,,20200304
2020-03-05,3,True,,20200305
2020-03-06,0,False,20200304,20200306
2020-03-07,0,False,20200306,20200307
2020-03-08,3,False,20200307,20200308
2020-03-09,5,True,,20200309
2020-03-10,3,False,20200309,20200310
2020-03-11,8,True,,20200311
2020-03-12,13,True,,20200312
2020-03-13,16,True,,20200313
2020-03-14,22,True,,20200314
2020-03-15,32,True,,20200315
2020-03-16,47,True,,20200316
2020-03-17,52,True,,20200317
2020-03-18,68,True,,20200318
2020-03-19,74,True,,20200319
2020-03-20,109,True,,20200320
2020-03-21,130,True,,20200321
2020-03-22,164,True,,20200322
2020-03-23,186,True,,20200323
2020-03-24,237,True,,20200324
2020-03-25,303,True,,20200325
2020-03-26,362,True,,20200326
2020-03-27,398,True,,20200327
2020-03-28,436,True,,20200328
2020-03-29,506,True,,20200329
2020-03-30,592,True,,20200330
2020-03-31,660,True,,20200331
2020-04-01,769,True,,20200401
2020-04-02,806,True,,20200402
2020-04-03,840,True,,20200403
2020-04-04,907,True,,20200404
2020-04-05,917,True,,20200405
2020-04-06,895,False,20200405,20200406
2020-04-07,999,True,,20200407
2020-04-08,1075,True,,20200408
2020-04-09,1000,False,20200408,20200409
2020-04-10,944,False,20200406,20200410
2020-04-11,957,False,20200410,20200411
2020-04-12,957,False,20200411,20200412
2020-04-13,896,False,20200406,20200413
2020-04-14,858,False,20200403,20200414
2020-04-15,878,False,20200414,20200415
2020-04-16,844,False,20200403,20200416
2020-04-17,819,False,20200402,20200417
2020-04-18,800,False,20200401,20200418
2020-04-19,768,False,20200331,20200419
2020-04-20,783,False,20200419,20200420
2020-04-21,744,False,20200331,20200421
2020-04-22,731,False,20200331,20200422
2020-04-23,677,False,20200331,20200423
2020-04-24,683,False,20200423,20200424
2020-04-25,647,False,20200330,20200425
2020-04-26,633,False,20200330,20200426
2020-04-27,595,False,20200330,20200427
2020-04-28,560,False,20200329,20200428
2020-04-29,572,False,20200428,20200429
2020-04-30,551,False,20200329,20200430
2020-05-01,568,False,20200430,20200501
2020-05-02,494,False,20200328,20200502
2020-05-03,450,False,20200328,20200503
2020-05-04,484,False,20200503,20200504
2020-05-05,465,False,20200503,20200505
2020-05-06,459,False,20200503,20200506
2020-05-07,461,False,20200506,20200507
2020-05-08,383,False,20200326,20200508
2020-05-09,378,False,20200326,20200509
2020-05-10,348,False,20200325,20200510
2020-05-11,309,False,20200325,20200511
2020-05-12,321,False,20200511,20200512
2020-05-13,317,False,20200511,20200513
2020-05-14,334,False,20200513,20200514
2020-05-15,314,False,20200511,20200515
2020-05-16,314,False,20200515,20200516
2020-05-17,267,False,20200324,20200517
2020-05-18,293,False,20200517,20200518
2020-05-19,275,False,20200517,20200519
2020-05-20,268,False,20200517,20200520
2020-05-21,238,False,20200324,20200521
