Date,Value,IsRecord,OtherDateClass,DateClass
2020-03-23,1273,True,,20200323
2020-03-24,1720,True,,20200324
2020-03-25,2085,True,,20200325
2020-03-26,1929,False,20200325,20200326
2020-03-27,2227,True,,20200327
2020-03-28,2191,False,20200327,20200328
2020-03-29,2489,False,20200328,20200329
2020-03-30,3190,True,,20200330
2020-03-31,2832,False,20200330,20200331
2020-04-01,3565,True,,20200401
2020-04-02,3284,False,20200401,20200402
2020-04-03,2930,False,20200402,20200403
2020-04-04,2921,False,20200331,20200404
2020-04-05,2917,False,20200331,20200405
2020-04-06,3046,False,20200405,20200406
2020-04-07,3149,False,20200402,20200407
2020-04-08,2967,False,20200405,20200408
2020-04-09,2628,False,20200329,20200409
2020-04-10,2463,False,20200328,20200410
2020-04-11,2162,False,20200326,20200411
2020-04-12,2066,False,20200326,20200412
2020-04-13,2161,False,20200412,20200413
2020-04-14,2088,False,20200412,20200414
2020-04-15,1880,False,20200324,20200415
2020-04-16,2011,False,20200415,20200416
2020-04-17,1965,False,20200415,20200417
2020-04-18,1628,False,20200323,20200418
2020-04-19,1657,False,20200418,20200419
2020-04-20,1737,False,20200419,20200420
2020-04-21,1713,False,20200419,20200421
2020-04-22,1527,False,20200323,20200422
2020-04-23,1513,False,20200323,20200423
2020-04-24,1525,False,20200423,20200424
2020-04-25,1255,True,,20200425
2020-04-26,1355,False,20200425,20200426
2020-04-27,1538,False,20200421,20200427
2020-04-28,1517,False,20200427,20200428
2020-04-29,1489,False,20200428,20200429
2020-04-30,1442,False,20200426,20200430
2020-05-01,1262,False,20200425,20200501
2020-05-02,1180,True,,20200502
2020-05-03,1188,False,20200502,20200503
2020-05-04,1250,False,20200503,20200504
2020-05-05,1146,True,,20200505
2020-05-06,1206,False,20200505,20200506
2020-05-07,1164,False,20200505,20200507
2020-05-08,910,True,,20200508
2020-05-09,943,False,20200508,20200509
2020-05-10,915,False,20200508,20200510
2020-05-11,1029,False,20200510,20200511
2020-05-12,983,False,20200510,20200512
2020-05-13,966,False,20200510,20200513
2020-05-14,909,True,,20200514
2020-05-15,871,True,,20200515
2020-05-16,813,True,,20200516
2020-05-17,792,True,,20200517
2020-05-18,848,False,20200517,20200518
